material_id,full_formula,band_gap,is_gap_direct,direct_gap,p_ex1_norm,p_ex1_degen,n_ex1_norm,n_ex1_degen,cbm_hybridization,cbm_character_1,cbm_specie_1,cbm_location_1,cbm_score_1,vbm_hybridization,vbm_character_1,vbm_specie_1,vbm_location_1,vbm_score_1
mp-21060,Na4Fe4O8,2.0460000000000003,1.0,2.0460000000000003,0.0,1.0,0.0,1.0,1.6862289780036992,d,Fe,0.007215;0.433065;0.373384,0.23648924281402672,2.621214971220336,p,O,0.158354;0.547183;0.591777,0.09515786578940007
mp-2125,Te8O16,2.2370000000000005,1.0,2.2370000000000005,0.0,1.0,0.0,1.0,3.3557218509813476,p,Te,0.029702;0.378759;0.616412,0.08370817181139646,3.5216921179657725,p,O,0.722605;0.087332;0.832069,0.04339720128073059
mp-2133,Zn2O2,0.7316,1.0,0.7316,0.0,1.0,0.0,1.0,2.000267718921361,s,Zn,0.666667;0.333333;0.500548,0.18678007545755337,1.4754240541477885,p,O,0.666667;0.333333;0.879762,0.3261250691976394
mp-21723,Si12Pb12O36,,,,,,,,,,,,,,,,,
mp-21724,Zn8Si8Pb8O32,,,,,,,,4.247154012678651,p,Pb,0.753314;0.958919;0.731762,0.06712110845258518,3.828821811695741,p,O,0.540485;0.82394;0.819305,0.05448421608121176
mp-21798,Na8Mo8P8O48,,,,,,,,3.0680176453552632,d,Mo,0.895745;0.115254;0.130488,0.15655434996170522,3.8998184378128027,p,O,0.450263;0.19389;0.543631,0.03741931305344199
mp-21913,Na8P8W8O48,,,,,,,,3.165992439089837,d,W,0.102853;0.884639;0.869824,0.1029607702833745,3.8585079616900178,p,O,0.668895;0.516449;0.242222,0.03639775097440475
mp-22006,V2Mo2O10,,,,,,,,2.077240961524289,d,Mo,0.5;0.5;0.5,0.23521523545672995,1.7206074823250366,d,V,0.5;0.0;0.829813,0.3651078279096514
mp-22169,Mo2Pb2O8,2.8876000000000004,0.0,2.9744,0.35294118,4.0,0.4084105482984626,4.0,1.8535255141681137,d,Mo,0.25;0.75;0.5,0.34896513482914143,2.541665987536538,s,Pb,0.75;0.25;0.5,0.09414633314748413
mp-22283,Dy4Fe4O12,0.9134000000000002,1.0,0.9134000000000002,0.0,1.0,0.0,1.0,2.463330905533755,d,Fe,0.0;0.5;0.5,0.1780443151264393,3.049421682889577,d,Fe,0.0;0.5;0.5,0.0653589253886867
mp-22341,Pr4Fe4O12,1.0793000000000004,0.0,1.2451000000000003,0.7071067811865476,1.0,0.0,1.0,2.2503552041852917,d,Fe,0.0;0.5;0.5,0.19895199123636187,2.9489782495562418,p,O,0.793736;0.793946;0.451811,0.06839492736012312
mp-2245,Si12N16,4.6579999999999995,0.0,4.717999999999999,0.47140451607698647,3.0,0.0,1.0,3.849489662493196,p,Si,0.913861;0.167295;0.952554,0.04545636653472601,2.6408490050802254,p,N,0.0;0.0;0.453258,0.19747452795202938
mp-22457,K3Na1S2O8,5.2996,0.0,5.4045000000000005,0.5,1.0,0.0,1.0,3.061418711266303,s,Na,0.0;0.0;0.0,0.12061859936020593,2.1240304767067357,p,O,0.666667;0.333333;0.466975,0.14020213519108574
mp-22588,Lu4Fe4O12,1.6083000000000003,1.0,1.6083000000000003,0.0,1.0,0.0,1.0,1.8389740618826087,d,Fe,0.0;0.5;0.0,0.22972200485171113,2.9301301334971646,d,Fe,0.0;0.5;0.5,0.06696656894787976
mp-22630,Sc8Pb4S16,1.6691000000000003,0.0,1.7615999999999996,0.0,1.0,0.5,1.0,2.737633376345531,d,Sc,0.25;0.942508;0.889203,0.13685877583847222,3.316817303470705,p,S,0.75;0.378616;0.971668,0.06688817750914929
mp-22650,K2Ca1Ni1N6O12,,,,,,,,2.8565819468596025,p,N,0.799628;0.200372;0.200372,0.10995260663507113,3.117310102152799,d,Ni,0.0;0.0;0.0,0.14612871117721662
mp-22665,Ag4As4Pb4S12,1.3859999999999997,0.0,1.3941,0.6403124237432849,2.0,0.5480552700273966,2.0,3.5079847623104596,p,Pb,0.08717;0.261818;0.845948,0.08758875781083628,3.2756326667446354,d,Ag,0.763801;0.190757;0.389234,0.06211464901329917
mp-22849,Bi2I6,2.5349,0.0,2.6046,0.8823336873331773,6.0,0.8660254037844386,1.0,2.008622918091363,p,Bi,0.333241;0.333241;0.333241,0.31164731751578184,2.0054456236074554,p,I,0.076327;0.725035;0.435565,0.15734187266541622
mp-22853,Mo2Cl6,0.15009999999999968,0.0,0.16920000000000002,0.6465231812981777,2.0,0.0,1.0,1.265175281145747,d,Mo,0.146318;0.853682;0.0,0.4313262467371366,1.3810962143669865,d,Mo,0.146318;0.853682;0.0,0.4125386930297564
mp-22858,Tl2I2,2.1451000000000002,1.0,2.1451000000000002,0.820738151841919,2.0,0.820738151841919,2.0,1.699467579821643,p,Tl,0.386013;0.613987;0.75,0.35059138843510496,1.3545658977426975,p,I,0.132584;0.867416;0.75,0.3830836606857823
mp-22876,Cs4I12,1.9163999999999999,0.0,1.9855,0.33333333,2.0,0.5,1.0,2.6876839487912103,p,I,0.25;0.555332;0.370267,0.11794493759438913,2.5458358493332,p,I,0.25;0.736152;0.564719,0.09537895200752709
mp-22882,Yb2Br4,4.3747,1.0,4.3747,0.0,1.0,0.0,1.0,2.175476481599396,d,Yb,0.5;0.5;0.5,0.2621919098678982,1.5679948521950857,p,Br,0.5;0.783236;0.179199,0.23997775397697876
mp-22885,Xe1F2,2.7255,0.0,2.8242999999999996,0.8660254037844386,1.0,0.577350263416123,2.0,1.075939477311234,p,Xe,0.0;0.0;0.0,0.5831794863777263,1.065217973144545,p,Xe,0.0;0.0;0.0,0.4628652159564813
mp-22905,Li1Cl1,6.25,0.0,6.2532000000000005,0.17664589177187706,12.0,0.0,1.0,1.2059859014184242,s,Cl,0.5;0.5;0.5,0.4304700171942281,0.07942550136408633,p,Cl,0.5;0.5;0.5,0.9857841293911076
mp-22968,Na2Cl2O8,5.4703,0.0,5.7279,0.7412035584518792,2.0,0.0,1.0,2.970292558415909,s,Cl,0.168131;0.168131;0.25,0.10329427129877562,2.0993675417891193,p,O,0.79708;0.126662;0.75,0.1253309155974792
mp-22991,Cs2V2I6,0.5943000000000005,0.0,0.657,0.47140451607698647,6.0,0.58309518948453,6.0,1.4040174269850512,d,V,0.0;0.0;0.0,0.4269592300815056,1.058985867778402,d,V,0.0;0.0;0.5,0.4641931277729982
mp-22995,Ag3S1I1,0.5390000000000001,0.0,0.8487999999999998,0.31491832549970344,1.0,0.0,1.0,2.3152103226960556,p,S,0.530804;0.530804;0.530804,0.16388530370381799,1.8640714701732135,p,S,0.530804;0.530804;0.530804,0.22843734037906407
mp-23015,Cs6Mo4Br18,,,,,,,,2.1158849988875508,d,Mo,0.666667;0.333333;0.325226,0.2125803877174195,2.2828076824537455,d,Mo,0.666667;0.333333;0.325226,0.19775565759316796
