Compound,Perovskite,Cubic,rA,rB,MA,MB,dAO,dBO,rA/rO,rB/rO,t
NaUO3,1,-1,1.39,0.76,2,20,1.5766,2.075,1.03,0.563,0.9179999999999999
NaWO3,1,-1,1.39,0.62,2,51,1.5766,1.89,1.03,0.45899999999999996,0.983
NdAlO3,1,-1,1.27,0.535,19,73,2.086,1.6440000000000001,0.941,0.396,0.983
NdCoO3,1,-1,1.27,0.61,19,58,2.086,1.6369999999999998,0.941,0.452,0.945
NdCrO3,1,-1,1.27,0.615,19,49,2.086,1.7080000000000002,0.941,0.456,0.943
NdFeO3,1,-1,1.27,0.645,19,55,2.086,1.751,0.941,0.478,0.929
NdGaO3,1,-1,1.27,0.62,19,74,2.086,1.73,0.941,0.45899999999999996,0.94
NdInO3,1,-1,1.27,0.8,19,75,2.086,1.902,0.941,0.593,0.862
NdMnO3,1,-1,1.27,0.645,19,52,2.086,1.732,0.941,0.478,0.929
NdNiO3,1,-1,1.27,0.6,19,61,2.086,1.75,0.941,0.444,0.95
NdRhO3,1,-1,1.27,0.665,19,59,2.086,1.7930000000000001,0.941,0.493,0.919
NdScO3,1,-1,1.27,0.745,19,11,2.086,1.849,0.941,0.552,0.884
NdTiO3,1,-1,1.27,0.67,19,43,2.086,1.791,0.941,0.496,0.917
NdVO3,1,-1,1.27,0.64,19,46,2.086,1.749,0.941,0.474,0.9309999999999999
PbCeO3,1,-1,1.49,0.87,81,15,1.963,2.028,1.104,0.644,0.905
PbGeO3,1,-1,1.49,0.53,81,79,1.963,1.7480000000000002,1.104,0.39299999999999996,1.068
PbHfO3,1,-1,1.49,0.71,81,45,1.963,1.923,1.104,0.526,0.975
PbSnO3,1,-1,1.49,0.69,81,80,1.963,1.905,1.104,0.511,0.9840000000000001
PbTiO3,1,-1,1.49,0.605,81,43,1.963,1.815,1.104,0.44799999999999995,1.0270000000000001
PbZrO3,1,-1,1.49,0.72,81,44,1.963,1.9369999999999998,1.104,0.5329999999999999,0.97
PrAlO3,1,-1,1.314,0.535,17,73,2.0980000000000003,1.6440000000000001,0.973,0.396,0.9990000000000001
PrCoO3,1,-1,1.314,0.61,17,58,2.0980000000000003,1.6369999999999998,0.973,0.452,0.961
PrCrO3,1,-1,1.314,0.615,17,49,2.0980000000000003,1.7080000000000002,0.973,0.456,0.9590000000000001
PrFeO3,1,-1,1.314,0.645,17,55,2.0980000000000003,1.751,0.973,0.478,0.9440000000000001
PrGaO3,1,-1,1.314,0.62,17,74,2.0980000000000003,1.73,0.973,0.45899999999999996,0.956
PrLuO3,1,-1,1.314,0.861,17,41,2.0980000000000003,1.9469999999999998,0.973,0.638,0.852
PrMnO3,1,-1,1.314,0.645,17,52,2.0980000000000003,1.732,0.973,0.478,0.9440000000000001
PrNiO3,1,-1,1.314,0.6,17,61,2.0980000000000003,1.75,0.973,0.444,0.966
PrRhO3,1,-1,1.314,0.665,17,59,2.0980000000000003,1.7930000000000001,0.973,0.493,0.935
PrRuO3,1,-1,1.314,0.68,17,56,2.0980000000000003,1.77,0.973,0.504,0.9279999999999999
PrScO3,1,-1,1.314,0.745,17,11,2.0980000000000003,1.849,0.973,0.552,0.899
PrTiO3,1,-1,1.314,0.67,17,43,2.0980000000000003,1.791,0.973,0.496,0.9329999999999999
PrVO3,1,-1,1.314,0.64,17,46,2.0980000000000003,1.749,0.973,0.474,0.9470000000000001
PrYbO3,1,-1,1.314,0.868,17,39,2.0980000000000003,1.954,0.973,0.643,0.8490000000000001
PuAlO3,1,-1,1.09,0.535,24,73,2.11,1.6440000000000001,0.807,0.396,0.915
PuCrO3,1,-1,1.09,0.615,24,49,2.11,1.7080000000000002,0.807,0.456,0.878
PuMnO3,1,-1,1.09,0.645,24,52,2.11,1.732,0.807,0.478,0.865
PuVO3,1,-1,1.09,0.64,24,46,2.11,1.749,0.807,0.474,0.867
RbIO3,1,1,1.72,0.95,4,96,2.0812,2.003,1.274,0.7040000000000001,0.9440000000000001
RbNbO3,1,-1,1.72,0.64,4,47,2.0812,1.916,1.274,0.474,1.091
RbPaO3,1,1,1.72,0.78,4,18,2.0812,2.11,1.274,0.578,1.0190000000000001
RbTaO3,1,-1,1.72,0.64,4,48,2.0812,1.92,1.274,0.474,1.091
RbUO3,1,1,1.72,0.76,4,20,2.0812,2.075,1.274,0.563,1.0290000000000001
ScAlO3,1,-1,0.87,0.535,11,73,1.849,1.6440000000000001,0.644,0.396,0.833
ScCrO3,1,-1,0.87,0.615,11,49,1.849,1.7080000000000002,0.644,0.456,0.799
SmAlO3,1,-1,1.24,0.535,23,73,2.063,1.6440000000000001,0.919,0.396,0.972
SmCoO3,1,-1,1.24,0.61,23,58,2.063,1.6369999999999998,0.919,0.452,0.934
SmCrO3,1,-1,1.24,0.615,23,49,2.063,1.7080000000000002,0.919,0.456,0.932
SmFeO3,1,-1,1.24,0.645,23,55,2.063,1.751,0.919,0.478,0.9179999999999999
SmInO3,1,-1,1.24,0.8,23,75,2.063,1.902,0.919,0.593,0.852
SmMnO3,1,-1,1.24,0.645,23,52,2.063,1.732,0.919,0.478,0.9179999999999999
SmNiO3,1,-1,1.24,0.6,23,61,2.063,1.75,0.919,0.444,0.9390000000000001
SmRhO3,1,-1,1.24,0.665,23,59,2.063,1.7930000000000001,0.919,0.493,0.909
SmScO3,1,-1,1.24,0.745,23,11,2.063,1.849,0.919,0.552,0.8740000000000001
SmTiO3,1,-1,1.24,0.67,23,43,2.063,1.791,0.919,0.496,0.907
SmVO3,1,-1,1.24,0.64,23,46,2.063,1.749,0.919,0.474,0.92
SrAmO3,1,-1,1.44,0.85,8,26,2.1180000000000003,2.11,1.067,0.63,0.897
SrCeO3,1,-1,1.44,0.87,8,15,2.1180000000000003,2.028,1.067,0.644,0.889
SrCoO3,1,1,1.44,0.53,8,58,2.1180000000000003,1.72,1.067,0.39299999999999996,1.0490000000000002
SrGeO3,1,1,1.44,0.53,8,79,2.1180000000000003,1.7480000000000002,1.067,0.39299999999999996,1.0490000000000002
SrHfO3,1,-1,1.44,0.71,8,45,2.1180000000000003,1.923,1.067,0.526,0.958
SrIrO3,1,-1,1.44,0.625,8,60,2.1180000000000003,1.87,1.067,0.46299999999999997,0.9990000000000001
SrMnO3,1,1,1.44,0.53,8,52,2.1180000000000003,1.75,1.067,0.39299999999999996,1.0490000000000002
SrMoO3,1,-1,1.44,0.65,8,50,2.1180000000000003,1.886,1.067,0.48100000000000004,0.986
SrNbO3,1,-1,1.44,0.68,8,47,2.1180000000000003,1.88,1.067,0.504,0.972
SrPbO3,1,-1,1.44,0.775,8,81,2.1180000000000003,2.042,1.067,0.574,0.9279999999999999
SrPrO3,1,-1,1.44,0.99,8,17,2.1180000000000003,2.0980000000000003,1.067,0.733,0.843
SrPuO3,1,-1,1.44,0.86,8,24,2.1180000000000003,2.09,1.067,0.637,0.893
SrRuO3,1,-1,1.44,0.62,8,56,2.1180000000000003,1.834,1.067,0.45899999999999996,1.001
SrSnO3,1,-1,1.44,0.69,8,80,2.1180000000000003,1.905,1.067,0.511,0.9670000000000001
SrTbO3,1,-1,1.44,0.76,8,29,2.1180000000000003,2.013,1.067,0.563,0.935
SrTeO3,1,-1,1.44,0.56,8,90,2.1180000000000003,1.9769999999999999,1.067,0.415,1.033
SrTiO3,1,-1,1.44,0.605,8,43,2.1180000000000003,1.815,1.067,0.44799999999999995,1.0090000000000001
SrVO3,1,1,1.44,0.58,8,46,2.1180000000000003,1.78,1.067,0.43,1.022
SrZrO3,1,-1,1.44,0.72,8,44,2.1180000000000003,1.9369999999999998,1.067,0.5329999999999999,0.953
TbAlO3,1,-1,1.214,0.535,29,73,2.013,1.6440000000000001,0.899,0.396,0.9620000000000001
TbCoO3,1,-1,1.214,0.61,29,58,2.013,1.6369999999999998,0.899,0.452,0.925
TbCrO3,1,-1,1.214,0.615,29,49,2.013,1.7080000000000002,0.899,0.456,0.9229999999999999
TbFeO3,1,-1,1.214,0.645,29,55,2.013,1.751,0.899,0.478,0.909
TbMnO3,1,-1,1.214,0.645,29,52,2.013,1.732,0.899,0.478,0.909
TbRhO3,1,-1,1.214,0.665,29,59,2.013,1.7930000000000001,0.899,0.493,0.9
TbTiO3,1,-1,1.214,0.67,29,43,2.013,1.791,0.899,0.496,0.898
TbVO3,1,-1,1.214,0.64,29,46,2.013,1.749,0.899,0.474,0.9109999999999999
TlCrO3,1,-1,1.115,0.615,76,49,2.003,1.7080000000000002,0.826,0.456,0.887
TlFeO3,1,-1,1.115,0.645,76,55,2.003,1.751,0.826,0.478,0.8740000000000001
TlIO3,1,-1,1.7,0.95,76,96,1.9269999999999998,2.003,1.2590000000000001,0.7040000000000001,0.938
TlNiO3,1,-1,1.115,0.6,76,61,2.003,1.75,0.826,0.444,0.894
TmAlO3,1,-1,1.17,0.535,37,73,1.9680000000000002,1.6440000000000001,0.867,0.396,0.945
TmCrO3,1,-1,1.17,0.615,37,49,1.9680000000000002,1.7080000000000002,0.867,0.456,0.907
TmFeO3,1,-1,1.17,0.645,37,55,1.9680000000000002,1.751,0.867,0.478,0.893
TmNiO3,1,-1,1.17,0.6,37,61,1.9680000000000002,1.75,0.867,0.444,0.914
TmTiO3,1,-1,1.17,0.67,37,43,1.9680000000000002,1.791,0.867,0.496,0.882
TmVO3,1,-1,1.17,0.64,37,46,1.9680000000000002,1.749,0.867,0.474,0.895
YAlO3,1,-1,1.196,0.535,12,73,2.0140000000000002,1.6440000000000001,0.8859999999999999,0.396,0.955
YbAlO3,1,-1,1.162,0.535,39,73,1.954,1.6440000000000001,0.861,0.396,0.9420000000000001
YbCrO3,1,-1,1.162,0.615,39,49,1.954,1.7080000000000002,0.861,0.456,0.904
YbFeO3,1,-1,1.162,0.645,39,55,1.954,1.751,0.861,0.478,0.89
