Compound ML DOM0 DOM100 H OQMDdistance SG
HgNpO3 NP D D -2.24 167 62
HgPrO3 NP D D -1.4 575 221
HgSiO3 NP D D -1.83 200 148
HgSO3 NP - - - - -
HgThO3 NP D D -2.09 630 221
MgAmO3 NP - - - - -
MgCeO3 NP D D -2.83 122 62
MgCoO3 NP D D -1.24 573 221
MgCrO3 NP D D -1.94 564 221
MgHfO3 NP D D -2.88 604 221
MgIrO3 NP D D -1.02 800 221
MgMnO3 NP NP NP -2.3 -44 148
MgMoO3 NP D D -1.92 597 221
MgNbO3 NP D D -2.32 529 221
MgNiO3 NP D D -1.1 590 221
MgNpO3 NP D D -3.28 129 62
MgPaO3 NP D D -2.48 554 221
MgPbO3 NP D D -1.3 543 221
MgPrO3 NP D D -2.84 132 62
MgRuO3 NP D D -1.29 648 221
MgSnO3 NP D D -1.73 625 221
MgSO3 NP - - - - -
MgTbO3 NP D D -2.79 180 62
MgTeO3 NP D D -1.18 833 221
MgThO3 NP D D -3.6 122 62
MgUO3 NP D D -3.36 107 62
MgZrO3 NP D D -2.68 682 221
MnAmO3 NP - - - - -
MnCoO3 NP D NP -1.62 27 148
MnCrO3 NP D D -1.74 511 221
MnNiO3 NP NP NP -1.6 -38 148
MnNpO3 NP D D -2.86 178 148
MnPaO3 NP D P -2.66 14 167
MnTeO3 NP D D -1.03 657 221
MnThO3 NP D D -2.74 617 221
MnUO3 NP D D -2.99 115 62
MnVO3 NP D NP -2.37 17 148
NiAmO3 NP - - - - -
NiCO3 NP NP NP -1.55 -133 167
NiCoO3 NP D D -0.35 768 221
NiCrO3 NP D D -1.08 694 221
NiGeO3 NP D D -0.73 971 221
NiHfO3 NP D D -1.74 1056 221
NiIrO3 NP D D -0.19 945 221
NiMoO3 NP D D -1.06 743 221
NiNbO3 NP D D -1.49 775 221
NiNpO3 NP D D -2.62 101 62
NiPaO3 NP D D -1.82 533 221
NiPbO3 NP D NP -1.16 7 148
NiRuO3 NP D D -0.4 858 221
NiSiO3 NP D D -1.45 910 221
NiSnO3 NP D D -0.89 784 221
NiSO3 NP - - - - -
NiTeO3 NP D D -0.57 750 221
NiUO3 NP D D -2.14 652 221
NiVO3 NP D D -1.17 836 221
NiZrO3 NP D D -1.74 941 221
PbCoO3 NP D NP -1.18 78 148
PbCrO3 NP D P -1.79 80 62
PbMnO3 NP D P -1.56 65 62
PbNiO3 NP D NP -1.16 7 148
SrNiO3 NP D D -1.67 127 221
SrSeO3 NP NP NP -2.15 0 62
SrSO3 NP - - - - -
ZnAmO3 NP - - - - -
ZnCO3 NP NP NP -1.65 -70 167
ZnCoO3 NP D D -0.66 627 221
ZnCrO3 NP D D -1.34 618 221
