ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
Insulator,2.264,-3.276,13.598,11.745,237.63,55.177,3.18,54.582,2.894,3.225,5.854e-05,K4Sn2Cl12,mp-571453
Insulator,2.602,-5.046,87.607,22.857,478.979,105.126,2.649,98.938,2.637,2.465,5.957e-05,Ag8N8O24,mp-669466
Insulator,4.785,-4.409,26.071,21.754,1091.785,116.316,1.751,113.39,1.628,3.522,6.491e-05,Be4B24H56,mp-27748
Insulator,2.676,-3.379,9.437,7.104,292.831,99.763,3.074,94.762,2.89,3.263,4.89e-05,As4Xe4F28,mp-27750
Insulator,6.01,-6.538,68.577,36.455,402.36,95.954,2.82,93.512,2.747,3.287,5.49e-05,Ba4Zr4F24,mp-556738
Insulator,5.24,-6.981,52.728,54.72,714.565,153.738,2.189,139.81,2.155,2.618,5.983e-05,Na16B32H16O64,mp-706489
Insulator,1.939,-4.497,40.141,14.559,333.438,16.704,2.898,16.638,2.803,2.637,6.087e-05,In1P1S4,mp-20790
Insulator,1.981,-4.376,34.837,14.448,300.833,136.611,2.918,139.319,2.825,2.333,6.086e-05,In8P12S36,mp-27753
Insulator,3.351,-6.007,55.91,35.158,506.289,64.84,2.683,62.82,2.574,2.749,5.987e-05,Sc2Se6O18,mp-1193171
Insulator,2.431,-4.803,24.268,15.989,377.503,40.773,2.841,40.201,2.72,2.814,6.982e-05,P8S8,mp-612
Insulator,4.936,-3.504,15.369,12.992,273.808,77.523,3.061,74.606,2.85,3.388,6.345e-05,K4Al4Cl16,mp-27755
Insulator,1.998,-4.56,72.897,25.887,416.392,101.139,2.824,94.013,2.705,2.542,5.074e-05,Hg4H8Se4O20,mp-24426
Insulator,4.024,-6.994,121.291,70.272,657.785,119.23,2.39,118.437,2.377,2.892,6.042e-05,Ca10Al12O28,mp-17694
Insulator,5.372,-7.449,88.85,53.364,729.893,143.471,2.281,133.968,2.268,2.64,5.98e-05,Sc8P24O72,mp-5207
Insulator,3.022,-7.348,100.06,57.897,713.956,116.876,2.289,107.453,2.29,2.718,5.919e-05,Mn4P12O36,mp-557190
Insulator,2.449,-5.257,52.907,47.87,629.793,98.407,2.507,92.915,2.318,2.486,5.057e-05,Tl2H12N6O24,mp-696189
Insulator,5.183,-4.074,25.191,11.707,410.877,25.5,2.873,25.064,2.737,2.819,5.95e-05,K2Cl2O6,mp-23022
Insulator,4.478,-5.295,31.289,13.494,505.315,111.574,2.581,102.906,2.575,2.403,5.917e-05,K2B2S8Cl8O24,mp-560423
Insulator,5.669,-5.581,42.199,31.762,392.02,108.889,2.849,107.516,2.743,2.977,5.974e-05,Li12Th4F28,mp-27761
Insulator,0.999,-3.03,39.901,13.153,218.741,135.88,3.101,137.169,2.923,2.347,6.02e-05,Ag16P8Se24,mp-13956
Insulator,1.431,-5.061,94.304,60.716,433.044,98.312,2.81,95.829,2.666,2.653,6.036e-05,K4Te8O24,mp-561973
Insulator,3.525,-6.386,76.628,35.995,500.997,138.097,2.619,130.964,2.588,2.653,5.977e-05,Sc8Se12O48,mp-11673
Insulator,2.495,-5.15,31.356,15.834,525.167,147.234,2.551,134.742,2.518,2.506,5.953e-05,Ni8H16S32N32,mp-696193
Insulator,2.422,-5.473,28.786,24.127,827.017,145.548,2.188,131.961,2.115,2.434,5.949e-05,Cu4H80C8S12N32O32,mp-696200
Insulator,1.828,-6.83,144.693,64.048,316.99,23.916,2.869,24.378,2.798,2.812,5.193e-05,U1Bi2O6,mp-548598
Insulator,2.799,-5.5,65.555,18.225,387.354,108.358,2.808,100.951,2.758,2.449,5.154e-05,Tl8N8O24,mp-5915
Insulator,1.939,-5.875,43.341,20.004,239.059,108.25,3.008,105.641,2.923,3.013,5.139e-05,Er12Se12F12,mp-27123
Insulator,1.948,-6.713,48.371,25.033,278.247,69.35,2.963,67.174,2.835,3.051,5.997e-05,Y8Se8F8,mp-696195
Insulator,1.11,-5.727,112.798,104.839,635.298,107.51,2.521,105.899,2.447,3.152,6.082e-05,Mn8P32,mp-571193
Insulator,1.797,-5.806,56.255,25.405,496.874,55.088,2.608,50.794,2.487,2.607,5.2e-05,K2Ba1Cu1N6O12,mp-12145
Insulator,4.722,-5.103,27.574,24.597,586.715,61.732,2.543,52.297,2.435,2.286,5.901e-05,Zn1H12S2O12,mp-24345
Insulator,1.468,-6.344,94.438,44.418,437.302,35.279,2.872,35.388,2.726,2.771,5.193e-05,Ba1Sr1Fe4O8,mp-22427
Insulator,7.618,-5.9,16.239,22.84,643.203,141.652,2.46,135.78,2.374,3.376,6.339e-05,Ca8B16F64,mp-12146
Insulator,3.996,-6.962,100.887,69.202,638.066,174.661,2.347,155.957,2.374,2.675,6.048e-05,Ca72Al48O144,mp-12147
Insulator,3.635,-3.793,18.46,9.861,260.867,47.072,3.241,43.422,2.908,3.179,7e-05,Na6Mn1Cl8,mp-27125
Insulator,3.588,-4.373,25.37,10.121,273.543,39.822,3.169,38.596,2.88,2.921,6.546e-05,Na2Mn3Cl8,mp-27126
Insulator,4.104,-5.779,29.796,29.147,719.346,83.263,2.341,80.069,2.258,2.459,6.008e-05,Na8H8C4O16,mp-721312
Insulator,3.011,-4.691,26.511,10.572,257.048,109.462,3.026,100.488,2.899,3.18,4.883e-05,W4Xe4O4F24,mp-556852
Insulator,3.321,-8.722,157.132,96.506,497.332,73.1,2.714,75.002,2.635,2.568,5.179e-05,Ca2Ta8O22,mp-3079
Insulator,3.858,-4.572,13.348,17.584,591.599,61.813,2.602,51.985,2.491,3.456,5.801e-05,Na2H12Cl2O10,mp-23986
Insulator,4.189,-6.541,143.692,65.034,597.979,52.423,2.606,49.359,2.528,2.73,5.994e-05,Zn4Si4O12,mp-562182
