MP_Eg,OQMD_Eg,AFLOW_Eg,AFLOW-fitted_EG,AFLOWML_Eg,JARVIS-TBMBJ_Eg,JARVIS-OPT_Eg,Exp_Eg
1.4932,,,,1.5930000000000002,,,
2.1315,,,,1.7519999999999998,,,
1.2625000000000002,,,,1.2229999999999999,,,
3.49,,,,2.56,,,
0.6400999999999999,,,,1.974,,,
2.9696,,,,2.98,,,
4.6887,,,,,,,
2.4178999999999995,,,,1.8869999999999998,,,
2.6825999999999994,,,,2.306,,,
4.9248,,,,4.3580000000000005,,,
2.8831,,,,2.904,,,
3.1791000000000005,,,,2.589,,,
3.2254,,,,2.6239999999999997,,,
5.7794,,,,5.557,,,
2.4494,,,,2.287,,,
1.9237,,,,2.456,,,
1.1071000000000004,,,,1.266,,,
1.3517,,,,1.149,,,
2.7153,,,,3.0860000000000003,,,
1.1284,,1.1182,2.42033,1.1159999999999999,,,
2.3425,,,,2.717,,,
2.1605,,,,3.7260000000000004,,,
1.8901,,,,2.456,,,
4.9735,,,,4.463,,,
1.8868,,,,2.536,,,
1.6735000000000002,2.392,,,1.464,,,
3.9530000000000003,,,,3.742,,,
1.2642000000000002,,,,1.087,,,
4.0435,,,,4.54,,,
0.6700999999999999,,0.6677,1.81306,0.63,,,
3.2226,3.873,,,2.647,,,
0.6625999999999999,,,,0.956,,,
2.0447,,,,2.101,,,
3.3278000000000003,,,,3.093,,,
1.9469,,,,3.5389999999999997,,,
2.7332,,,,4.0,,,
1.9476,,,,2.609,,,
0.7155,2.77,,,2.662,,,
0.9985,,0.9749,2.22717,0.746,,,
3.0092000000000003,,,,2.575,,,
5.7076,,,,5.648,,,
2.7306,,,,2.318,,,
3.7261,,,,3.15,,,
5.6859,,,,5.3020000000000005,,,
2.4131,,,,4.361000000000001,,,
2.0696000000000003,,,,2.299,,,
1.3766000000000005,,1.1937,2.52211,1.046,,,
3.7215,4.034,,,3.605,,,
5.2901,,,,4.729,,,
1.8133,,,,2.642,,,
1.0106999999999997,,,,0.603,,,
0.9179999999999996,,,,2.294,,,
4.6237,,,,2.017,,,
3.8238,,,,2.207,,,
2.4487999999999994,,,,2.044,,,
0.5274000000000001,,,,2.18,,,
2.1252999999999997,,,,1.9580000000000002,,,
0.6621,,,,3.733,,,
0.7604999999999995,,,,1.4480000000000002,,,
1.8259000000000003,,,,1.626,,,
1.8352,,,,2.28,,,
1.4888,,,,0.7609999999999999,,,
1.8579,,,,2.625,,,
2.9514000000000005,,,,4.387,,,
1.5453,,,,1.409,,,
0.7877999999999998,,0.7852,1.97145,0.985,,,
0.8981,,,,3.1010000000000004,,,
1.6312,2.238,,,1.399,,,
2.201,,,,2.275,,,
4.1141000000000005,,,,3.895,,,
1.4657999999999998,,,,2.245,,,
1.8637,,,,1.489,,,
5.4771,,,,5.912000000000001,,,
3.0793,,,,2.7310000000000003,,,
1.3630000000000004,,1.3751,2.76663,0.9259999999999999,,,
2.7366,,,,3.248,,,
5.6518,,,,5.223,,,
2.8382999999999994,,,,2.67,,,
2.5052000000000003,,,,2.4930000000000003,,,
1.3019999999999998,,1.2955,2.6593299999999997,1.042,,,
3.9538,,,,3.76,,,
1.4569000000000003,,,,1.743,,,
5.3103,,,,5.809,,,
2.707,2.76,,,3.073,,,
3.6839,,,,2.7310000000000003,,,
1.5791,,,,2.18,,,
2.4896,1.227,,,2.802,,,
2.1397,2.17,,,2.7689999999999997,,,
1.1896000000000004,0.869000000000001,,,2.386,,,
4.246499999999998,,,,4.462,,,
3.7883,,,,3.792,,,
4.1975,,,,2.8339999999999996,,,
0.8722000000000003,,,,0.785,,,
2.0461,,,,1.3459999999999999,,,
3.2147,,,,2.872,,,
1.9963,1.9140000000000001,,,1.555,,,
2.2712,,,,2.294,,,
2.9251,,,,2.476,,,
4.0775000000000015,,,,3.967,,,
2.4902999999999995,,,,2.8930000000000002,,,
6.1955,7.1579999999999995,,,6.023,,,
5.9683,6.915,,,5.132999999999999,,,
0.4569000000000001,0.569,,,0.43,,,
2.2121000000000004,2.102,1.9486,3.53971,1.5819999999999999,2.8512,1.9689,3.6
2.9057000000000004,3.1189999999999998,,,3.4219999999999997,,,
4.638,5.3,4.4696,6.93802,3.616,6.8046,5.1301,7.4
5.7554,,,,5.1739999999999995,,,
0.6628999999999996,0.515000000000001,,,0.9740000000000001,,,
1.6193,2.115,,,1.214,,,
1.5633999999999997,2.2769999999999997,,,1.156,,,
0.7596000000000007,0.57,0.5487,1.65265,0.634,1.4582,0.8253,
1.369,0.557,1.3985,2.79818,1.4140000000000001,2.0845,1.1272,
3.0593999999999992,3.637,,,2.9789999999999996,,,
0.9778000000000002,1.5619999999999998,,,,2.7082,1.2141,
0.4512999999999998,0.622999999999999,,,,,,3.93
2.5473000000000003,,,,2.343,4.2799,2.782,5.6
3.5792,3.57,3.3871,5.47881,3.173,5.064,3.5821,
2.3181000000000003,2.4619999999999997,2.3161,4.0351,1.578,3.4939999999999998,2.4947,4.7
3.9894,4.125,,,4.0089999999999995,5.6709,4.0962,
2.9642,2.951,2.7703,4.64736,2.926,4.2555,2.9453,
0.4344999999999999,,,,,1.0753,0.6657,3.31
1.1079999999999999,,,,2.728,,,
3.1474,3.772,,,3.0260000000000002,4.4228,3.4292,
2.2561,2.1109999999999998,2.0909,3.7315300000000002,2.177,3.4113,2.0482,5.13
3.0003,,2.8477,4.7517,3.043,4.6769,3.06,
0.6537000000000002,,0.669,1.8148099999999998,0.737,,,
0.8732000000000002,0.47700000000000004,,1.3413899999999999,,0.7914,,
1.2008,,,,0.9279999999999999,1.5566,,
3.549,3.9819999999999998,3.4902,5.61779,3.362,,,
1.0119000000000002,,0.9784,2.23188,0.9640000000000001,2.2888,0.8981,
3.0493,2.955,,,2.915,,,
2.1362,2.164,2.0765,3.7121199999999996,2.205,2.8824,2.1369,4.87
2.5534000000000003,2.528,,,2.8169999999999997,2.8447,2.5665,
2.2783999999999995,,,,1.8940000000000001,,,
1.1372000000000004,,1.1035,2.40052,1.021,,,
1.3304,,,,1.198,,,
1.5760999999999998,1.079,1.5521,3.00523,,2.1175,1.2286,
0.7909999999999999,0.925,0.7627,1.9411200000000002,0.72,,,
2.1295999999999995,,,,2.572,,,
0.5996000000000001,,,,0.648,,,
0.8526999999999996,0.773000000000001,0.61,1.73528,0.478,1.2764,0.7314,
2.2091000000000003,2.249,2.1518,3.8136300000000003,1.922,3.2256,2.1484,3.88
4.6792,,,,4.59,,,
4.4546,,,,4.463,,,
5.6346,,,,5.192,,,
0.8572000000000006,,,,0.6459999999999999,,,
3.4391,,,,3.363,,,
1.6041,1.6440000000000001,1.5374,2.98542,1.341,2.0607,1.5590000000000002,4.07
0.9777000000000003,0.958,1.7380000000000002,3.25582,1.608,,,
2.4382,2.388,,,2.7960000000000003,,,
2.0348,2.377,,,2.395,,,
0.6109,,,1.27615,,,,
3.2962,3.843,,,3.0810000000000004,4.1734,3.4518,0.56
2.1928,2.209,,,1.8230000000000002,2.9694,2.2434,
3.14,2.884,,,3.0439999999999996,3.5611,2.7267,
0.7020999999999997,0.5670000000000001,0.5324,1.63068,0.732,,,
1.4176000000000002,,1.0335,2.3061599999999998,0.987,1.3226,0.9063,
0.5139000000000005,0.573,0.4507,1.52054,0.431,1.1059999999999999,,
0.8567,,,,0.871,,,
0.7243999999999993,0.914,,,0.728,,,
0.7418000000000005,,,,0.79,,,
2.5596,2.4,2.384,4.1266300000000005,2.345,3.2680000000000002,2.3466,5.38
3.0276999999999994,3.1919999999999997,,,3.028,,,
3.4731999999999994,,,,3.63,,,
0.5570000000000004,0.40299999999999997,,,,0.7417,,
3.5646,3.412,,,3.286,,,
1.7730000000000006,,,1.13434,0.532,0.5114,,
2.3816,,,,2.3680000000000003,,,
0.6512999999999991,0.914,,,0.728,,,
0.6975999999999996,0.7659999999999999,0.9794,2.23323,0.9440000000000001,,,
2.7369000000000003,,,,2.241,,,
5.7239,,,,5.4910000000000005,,,
1.0325000000000002,1.175,,,0.9590000000000001,,,
1.6791,1.681,1.6104,3.0838200000000002,1.8719999999999999,3.0936,1.7911,
1.3900000000000006,1.364,,,1.8430000000000002,,,
3.1337,3.335,,,3.2110000000000003,,,
2.311,2.3209999999999997,,,2.29,,,
3.6032,3.627,,,3.083,5.5408,3.4246,
4.7098,,,,4.333,,,
4.9331999999999985,5.1,,,4.315,,,
4.6319,5.093,,,3.9789999999999996,,,
0.9429000000000004,0.862,,,1.83,,,
2.2055,2.719,,,1.834,,,
3.4974,,3.4124,5.512919999999999,3.238,,,
4.3789,5.136,,,4.276,,,
0.4539999999999997,,,1.33209,0.409,,,
3.8374000000000006,3.486,,,3.554,,,
2.0962000000000005,,,,2.02,,,
5.7313,5.455,,,5.597,,,
3.0235,2.938,,,2.905,,,
1.1252,,,,1.162,,,
1.5109000000000004,1.167,,,1.115,1.4356,1.046,
4.5847,5.221,,,4.648,,,
5.6611,6.051,,,5.388,,,
1.077,0.8140000000000001,,,1.7,,,
4.3777,4.994,,,4.47,,,
1.2916,,1.2679,2.62213,1.315,,,
3.8435,,,,3.3789999999999996,,,
3.2813000000000003,3.2889999999999997,,,3.2569999999999997,,,
2.2882,2.213,,,2.634,2.6529,2.2539,
2.1331,3.0460000000000003,,,2.271,,,
3.7306,4.355,,,3.3939999999999997,,,
4.48,5.284,,,4.059,,,
2.9810000000000003,3.0210000000000004,2.9252,4.85617,2.883,,,
4.2089,4.629,4.2273,6.6114,4.1930000000000005,5.9035,4.3149,
3.0494,3.207,,,3.216,,,
0.9549000000000004,,,,,0.4947,,1.3
3.2937000000000003,3.0810000000000004,,,3.177,,,
1.3385,,,,1.225,,,
3.6069999999999998,,,,3.588,,,
1.2807,,,,1.25,,,
2.3708000000000005,2.086,,,2.467,2.7356,2.1361,
0.6623999999999999,,,1.0137,,,,
3.8445,3.674,,,3.3680000000000003,4.2734,3.7036,
3.2655,2.9810000000000003,,,3.08,,,
1.6488,,1.3372,2.71555,,,,
1.3262,,,,,,,
3.695300000000001,3.4,,,3.158,,,
3.7025,3.359,,,3.3480000000000003,4.1778,0.6582,
3.2219000000000007,2.97,,,3.108,,,
2.3488,2.219,1.9613,3.55683,1.776,,,
2.2698,,,,2.423,2.7915,2.0977,
3.1998,,,,2.97,,,
3.2406,,,,3.02,,,
3.2494,2.985,,,2.998,,,
0.5751999999999997,,,1.11978,,0.6165,,
1.5648,2.238,,,1.2790000000000001,,,
3.7851,3.577,3.6112,5.7809,3.5389999999999997,,,
4.8845,4.7330000000000005,,,3.468,,,
3.3974,3.235,,,3.0660000000000003,,,
2.5556,2.4130000000000003,,,2.449,,,
2.4385,2.51,,,2.5340000000000003,2.5216,2.2279,
1.5421,1.4709999999999999,1.4432,2.85843,1.413,,,
2.0357000000000003,1.79,,,1.9869999999999999,,,
4.6819999999999995,4.546,,,3.763,,,
3.2037000000000004,3.0669999999999997,,,2.9419999999999997,,,
2.3714,2.366,2.3609,4.09549,2.366,2.5913,2.1614,
0.4790999999999999,,0.8634,2.07686,0.8440000000000001,0.6432,,
4.0973,,3.9462,6.232480000000001,3.341,,,
3.4564,2.918,,,3.036,,,
3.7298,3.464,,,3.39,,,
3.5007,3.312,3.3543,5.4346,3.367,,,
1.1799,0.784,,,0.7709999999999999,,,2.8
2.2862000000000005,,2.117,3.76672,2.5639999999999996,2.7341,2.1481,
3.4359,3.1260000000000003,,,3.0580000000000003,,,
4.3504,4.008,,,3.63,,,
1.1508,0.755,,,0.762,1.5743,0.4901,
2.81,,,,2.687,,,
1.4886999999999997,1.4469999999999998,,,1.526,2.7189,1.5845,
2.0435000000000003,,1.7634,3.29006,1.091,2.3095,1.7718,3.77
1.0581999999999994,0.966,,,,1.4049,1.1187,
1.7600999999999996,1.5719999999999998,,,2.046,1.6989,1.6702,
0.6311,0.976,,,1.8030000000000002,2.3631,0.8717,3.31
3.3407000000000004,2.9360000000000004,,,3.378,4.868,3.4184,
1.7743000000000002,1.085,,,1.32,2.3864,1.4719,
3.0007,2.552,,,2.66,,,
6.6402,7.085,6.6116,9.825439999999999,6.6160000000000005,9.685,6.931,
1.0878999999999994,,,,1.203,,,
0.9343000000000004,1.1520000000000001,,,1.561,,,
1.2806000000000002,1.6019999999999999,,,1.016,,,
2.8636,,,,2.74,,,
1.2470999999999997,1.3730000000000002,,,1.092,,,
0.7472000000000003,,,,,,,
0.6821999999999989,0.772,1.2768,2.63413,1.194,1.112,,
0.7941000000000003,1.194,,,0.879,,,
3.6548,4.013999999999999,,,3.659,,,
2.0181,1.796,1.8295,3.37917,1.761,,,
2.8941000000000003,2.9810000000000003,,,2.7889999999999997,4.2328,3.0523,
2.2292000000000005,1.956,,,2.169,3.3896,2.2918,
1.8508000000000004,1.645,,,1.4069999999999998,2.4735,1.4294,
0.6296999999999997,,,,0.428,1.0596,0.5316,
2.0278,1.786,,,1.565,2.6035,1.5196,
2.9793000000000003,2.498,,,2.705,,,
3.2251000000000003,3.613,,,3.24,5.1677,3.4767,
2.2370000000000005,2.068,,,2.612,,,
0.9925999999999996,0.691,0.4655,1.54049,,1.2978,,
2.2799000000000005,2.6039999999999996,,,2.115,,,
